,Player,Nation,Pos_x,Squad,Age,MP,Starts,Min,90s,Gls,Ast,Height,Foot,Market Value,Year
759,Jakub Moder,POL,MF,Brighton,21,12,7,647,7.2,0,0,191.0,right,11000000.0,2020.0
760,Jayson Molumby,IRL,MF,Brighton,20,1,0,1,0.0,0,0,176.0,right,1100000.0,2020.0
761,Wes Morgan,JAM,DF,Leicester City,36,3,0,18,0.2,0,0,185.0,right,440000.0,2020.0
762,Mason Mount,ENG,FW,Chelsea,21,36,32,2890,32.1,6,5,180.0,right,82500000.0,2020.0
763,Lucas Moura,BRA,MF,Tottenham,27,30,14,1411,15.7,3,4,172.0,right,27500000.0,2020.0
764,Lys Mousset,FRA,MF,Sheffield Utd,24,11,2,296,3.3,0,0,184.0,right,9900000.0,2020.0
765,João Moutinho,POR,MF,Wolves,33,33,28,2528,28.1,1,1,170.0,right,4400000.0,2020.0
766,Joel Mumbongo,SWE,FW,Burnley,21,4,0,40,0.4,0,0,188.0,right,330000.0,2020.0
767,Jacob Murphy,ENG,MF,Newcastle Utd,25,26,17,1626,18.1,2,3,173.0,right,4400000.0,2020.0
768,Shkodran Mustafi,GER,DF,Arsenal,28,3,0,47,0.5,0,0,184.0,right,2750000.0,2020.0
769,Marvelous Nakamba,ZIM,MF,Aston Villa,26,13,9,749,8.3,0,0,177.0,left,7700000.0,2020.0
770,Iliman Ndiaye,FRA,MF,Sheffield Utd,21,1,0,12,0.1,0,0,180.0,-,220000.0,2020.0
771,Wilfred Ndidi,NGA,DF,Leicester City,23,26,25,2176,24.2,1,4,183.0,right,66000000.0,2020.0
772,Reiss Nelson,ENG,FW,Arsenal,20,2,0,71,0.8,0,0,175.0,right,9900000.0,2020.0
773,Pedro Neto,POR,MF,Wolves,20,31,30,2550,28.3,5,6,172.0,left,38500000.0,2020.0
774,Rúben Neves,POR,MF,Wolves,23,36,31,2675,29.7,5,1,180.0,right,49500000.0,2020.0
775,Eddie Nketiah,ENG,FW,Arsenal,21,17,4,423,4.7,2,1,180.0,right,17600000.0,2020.0
776,Niels Nkounkou,FRA,FW,Everton,19,2,1,81,0.9,0,0,180.0,left,3300000.0,2020.0
777,Mark Noble,ENG,MF,West Ham,33,21,8,712,7.9,0,0,180.0,right,2200000.0,2020.0
778,Will Norris,ENG,GK,Burnley,26,2,2,180,2.0,0,0,190.0,right,440000.0,2020.0
779,Oliver Norwood,NIR,MF,Sheffield Utd,29,32,26,2220,24.7,0,0,175.0,right,5500000.0,2020.0
780,Jack O'Connell,ENG,DF,Sheffield Utd,26,2,2,180,2.0,0,0,191.0,left,5500000.0,2020.0
781,Dara O'Shea,IRL,DF,West Brom,21,28,25,2102,23.4,0,0,189.0,right,3300000.0,2020.0
782,Michael Obafemi,IRL,FW,Southampton,20,4,0,61,0.7,0,0,170.0,right,3300000.0,2020.0
783,Denis Odoi,BEL,DF,Fulham,32,3,3,270,3.0,0,0,178.0,right,660000.0,2020.0
784,Angelo Ogbonna,ITA,DF,West Ham,32,28,28,2492,27.7,3,0,191.0,left,2750000.0,2020.0
785,Robin Olsen,SWE,GK,Everton,30,7,7,630,7.0,0,0,196.0,right,3300000.0,2020.0
786,Josh Onomah,ENG,MF,Fulham,23,11,4,374,4.2,0,0,185.0,right,6600000.0,2020.0
787,Divock Origi,BEL,FW,Liverpool,25,9,2,186,2.1,0,0,185.0,right,13200000.0,2020.0
788,Ben Osborn,ENG,DF,Sheffield Utd,25,24,17,1604,17.8,1,0,176.0,left,2200000.0,2020.0
789,Owen Otasowie,USA,FW,Wolves,19,6,2,187,2.1,0,1,191.0,right,1650000.0,2020.0
790,Alex Oxlade-Chamberlain,ENG,MF,Liverpool,26,13,2,253,2.8,1,1,175.0,right,19800000.0,2020.0
791,Thomas Partey,GHA,MF,Arsenal,27,24,18,1534,17.0,0,2,185.0,right,44000000.0,2020.0
792,Rui Patrício,POR,GK,Wolves,32,37,37,3329,37.0,0,0,190.0,left,11000000.0,2020.0
793,Bailey Peacock-Farrell,NIR,GK,Burnley,23,4,4,360,4.0,0,0,194.0,left,1100000.0,2020.0
794,Lee Peltier,ENG,DF,West Brom,33,4,3,229,2.5,0,0,178.0,right,440000.0,2020.0
795,Nicolas Pépé,CIV,FW,Arsenal,25,29,16,1616,18.0,10,1,183.0,left,38500000.0,2020.0
796,Matheus Pereira,BRA,FW,West Brom,24,33,30,2577,28.6,11,6,175.0,left,16500000.0,2020.0
797,Ricardo Pereira,POR,DF,Leicester City,26,15,10,959,10.7,0,1,175.0,right,33000000.0,2020.0
798,Ayoze Pérez,ESP,FW,Leicester City,27,25,15,1331,14.8,2,1,178.0,right,19800000.0,2020.0
799,Kalvin Phillips,ENG,MF,Leeds United,24,29,28,2428,27.0,1,2,178.0,right,33000000.0,2020.0
800,Matt Phillips,SCO,FW,West Brom,29,33,20,1828,20.3,2,1,183.0,right,4400000.0,2020.0
801,Nathaniel Phillips,ENG,DF,Liverpool,23,17,15,1456,16.2,1,1,190.0,right,8800000.0,2020.0
802,Jordan Pickford,ENG,GK,Everton,26,31,31,2742,30.5,0,0,185.0,left,24200000.0,2020.0
803,Erik Pieters,NED,MF,Burnley,31,20,13,1266,14.1,0,1,183.0,left,1650000.0,2020.0
804,Daniel Podence,POR,FW,Wolves,24,24,22,1661,18.5,3,2,165.0,right,27500000.0,2020.0
805,Paul Pogba,FRA,FW,Manchester Utd,27,26,21,1897,21.1,3,3,191.0,both,66000000.0,2020.0
806,Nick Pope,ENG,GK,Burnley,28,32,32,2880,32.0,0,0,198.0,right,16500000.0,2020.0
807,Dennis Praet,BEL,FW,Leicester City,26,15,10,718,8.0,1,1,181.0,right,19800000.0,2020.0
808,Davy Pröpper,NED,MF,Brighton,28,7,2,213,2.4,0,0,185.0,right,8800000.0,2020.0
809,Christian Pulisic,USA,MF,Chelsea,21,27,18,1738,19.3,4,2,177.0,right,55000000.0,2020.0
810,Aaron Ramsdale,ENG,GK,Sheffield Utd,22,38,38,3420,38.0,0,0,191.0,right,13200000.0,2020.0
811,Aaron Ramsdale,ENG,GK,Sheffield Utd,22,38,38,3420,38.0,0,0,191.0,right,13750000.0,2020.0
812,Jacob Ramsey,ENG,FW,Aston Villa,19,22,6,626,7.0,0,0,180.0,right,5500000.0,2020.0
813,Darren Randolph,IRL,GK,West Ham,33,3,3,270,3.0,0,0,187.0,right,1650000.0,2020.0
814,Marcus Rashford,ENG,FW,Manchester Utd,22,37,33,2920,32.4,11,9,185.0,right,93500000.0,2020.0
815,Tim Ream,USA,DF,Fulham,32,7,7,630,7.0,0,0,186.0,left,660000.0,2020.0
816,Nathan Redmond,ENG,FW,Southampton,26,29,17,1738,19.3,2,3,173.0,right,19800000.0,2020.0
817,Harrison Reed,ENG,MF,Fulham,25,31,26,2247,25.0,0,2,181.0,right,11000000.0,2020.0
818,Sergio Reguilón,ESP,DF,Tottenham,23,27,26,2244,24.9,0,3,178.0,left,27500000.0,2020.0
819,Bobby Reid,JAM,DF,Fulham,27,33,28,2372,26.4,5,2,170.0,right,11000000.0,2020.0
820,Declan Rice,ENG,MF,West Ham,21,32,32,2879,32.0,2,1,185.0,right,71500000.0,2020.0
821,Lewis Richardson,ENG,MF,Burnley,17,2,0,4,0.0,0,0,,-,220000.0,2020.0
822,Richarlison,BRA,FW,Everton,23,34,33,2861,31.8,7,3,184.0,right,60500000.0,2020.0
823,Matt Ritchie,SCO,MF,Newcastle Utd,30,18,15,1350,15.0,0,2,173.0,left,3300000.0,2020.0
824,Tyler Roberts,WAL,FW,Leeds United,21,27,14,1340,14.9,1,2,180.0,right,6600000.0,2020.0
825,Andrew Robertson,SCO,DF,Liverpool,26,38,38,3383,37.6,1,7,178.0,left,71500000.0,2020.0
826,Antonee Robinson,USA,DF,Fulham,22,28,24,2162,24.0,0,0,183.0,left,7700000.0,2020.0
827,Callum Robinson,IRL,MF,West Brom,25,28,20,1560,17.3,5,0,178.0,right,6600000.0,2020.0
828,Jack Robinson,ENG,DF,Sheffield Utd,26,11,9,877,9.7,0,1,180.0,left,2200000.0,2020.0
829,Hal Robson-Kanu,WAL,MF,West Brom,31,19,2,561,6.2,2,0,183.0,left,1650000.0,2020.0
830,Joe Rodon,WAL,DF,Tottenham,22,12,8,733,8.1,0,0,193.0,right,11000000.0,2020.0
831,Rodri,ESP,MF,Manchester City,24,34,31,2748,30.5,2,2,191.0,right,77000000.0,2020.0
832,Rodrigo,ESP,FW,Leeds United,29,26,14,1288,14.3,7,2,182.0,left,19800000.0,2020.0
833,James Rodríguez,COL,MF,Everton,29,23,21,1764,19.6,6,4,181.0,left,30800000.0,2020.0
834,Oriol Romeu,ESP,MF,Southampton,28,21,20,1763,19.6,1,1,183.0,right,6600000.0,2020.0
835,John Ruddy,ENG,GK,Wolves,33,2,1,91,1.0,0,0,192.0,right,880000.0,2020.0
836,Antonio Rüdiger,GER,DF,Chelsea,27,19,19,1710,19.0,1,0,190.0,right,30800000.0,2020.0
837,Mathew Ryan,AUS,GK,Brighton,28,11,11,990,11.0,0,0,184.0,right,6600000.0,2020.0
838,Mathew Ryan,AUS,GK,Brighton,28,11,11,990,11.0,0,0,184.0,right,6600000.0,2020.0
839,Mathew Ryan,AUS,GK,Arsenal,28,3,3,270,3.0,0,0,184.0,right,6600000.0,2020.0
840,Mathew Ryan,AUS,GK,Arsenal,28,3,3,270,3.0,0,0,184.0,right,6600000.0,2020.0
841,Allan Saint-Maximin,FRA,MF,Newcastle Utd,23,25,19,1560,17.3,3,4,173.0,right,33000000.0,2020.0
842,Romain Saïss,MAR,DF,Wolves,30,27,27,2407,26.7,3,0,188.0,left,11000000.0,2020.0
843,Bukayo Saka,ENG,DF,Arsenal,18,32,30,2553,28.4,5,3,178.0,left,71500000.0,2020.0
844,Mamadou Sakho,FRA,DF,Crystal Palace,30,4,3,276,3.1,0,0,187.0,left,6600000.0,2020.0
845,Mohamed Salah,EGY,FW,Liverpool,28,37,34,3078,34.2,22,5,175.0,left,110000000.0,2020.0
846,Mohammed Salisu,GHA,DF,Southampton,21,12,8,844,9.4,0,0,191.0,left,11000000.0,2020.0
847,Davinson Sánchez,COL,DF,Tottenham,24,18,17,1486,16.5,0,0,187.0,right,35200000.0,2020.0
848,Robert Sánchez,ESP,GK,Brighton,22,27,27,2430,27.0,0,0,,-,8800000.0,2020.0
849,Morgan Sanson,FRA,MF,Aston Villa,25,9,3,294,3.3,0,0,180.0,right,17600000.0,2020.0
850,Romaine Sawyers,SKN,MF,West Brom,28,19,17,1487,16.5,0,0,175.0,right,2200000.0,2020.0
851,Dane Scarlett,ENG,FW,Tottenham,16,1,0,1,0.0,0,0,180.0,right,275000.0,2020.0
852,Fabian Schär,SUI,DF,Newcastle Utd,28,18,13,1246,13.8,1,0,186.0,right,9900000.0,2020.0
853,Jeffrey Schlupp,GHA,MF,Crystal Palace,27,27,15,1428,15.9,2,3,178.0,left,9900000.0,2020.0
854,Kasper Schmeichel,DEN,GK,Leicester City,33,38,38,3420,38.0,0,0,189.0,right,6600000.0,2020.0
855,Nélson Semedo,POR,DF,Wolves,26,34,34,2983,33.1,1,1,177.0,right,30800000.0,2020.0
856,Femi Seriki,ENG,DF,Sheffield Utd,18,1,0,1,0.0,0,0,,-,220000.0,2020.0
857,Jamie Shackleton,ENG,DF,Leeds United,20,13,3,461,5.1,0,0,168.0,right,2750000.0,2020.0
858,Xherdan Shaqiri,SUI,FW,Liverpool,28,14,5,556,6.2,0,2,169.0,left,13200000.0,2020.0
859,Billy Sharp,ENG,FW,Sheffield Utd,34,16,7,735,8.2,3,0,175.0,right,550000.0,2020.0
860,Luke Shaw,ENG,DF,Manchester Utd,25,32,30,2654,29.5,1,5,178.0,left,38500000.0,2020.0
861,Jonjo Shelvey,ENG,MF,Newcastle Utd,28,30,29,2617,29.1,1,3,184.0,right,14300000.0,2020.0
862,Shola Shoretire,ENG,FW,Manchester Utd,16,2,0,11,0.1,0,0,171.0,right,3300000.0,2020.0
863,Bernardo Silva,POR,FW,Manchester City,25,26,24,2065,22.9,2,6,173.0,left,77000000.0,2020.0
864,Fábio Silva,POR,FW,Wolves,18,32,11,1369,15.2,4,3,185.0,right,27500000.0,2020.0
865,Thiago Silva,BRA,DF,Chelsea,35,23,23,1935,21.5,2,0,181.0,right,3300000.0,2020.0
866,Moussa Sissoko,FRA,MF,Tottenham,30,25,15,1585,17.6,0,0,187.0,right,11000000.0,2020.0
867,Islam Slimani,ALG,FW,Leicester City,32,1,0,20,0.2,0,0,188.0,right,3300000.0,2020.0
868,Robert Snodgrass,SCO,DF,West Ham,32,3,0,5,0.1,0,0,182.0,left,1650000.0,2020.0
869,Robert Snodgrass,SCO,DF,West Ham,32,3,0,5,0.1,0,0,182.0,left,1650000.0,2020.0
870,Robert Snodgrass,SCO,FW,West Brom,32,8,6,526,5.8,0,0,182.0,left,1650000.0,2020.0
871,Robert Snodgrass,SCO,FW,West Brom,32,8,6,526,5.8,0,0,182.0,left,1650000.0,2020.0
872,Cédric Soares,POR,DF,Arsenal,28,10,8,746,8.3,0,1,171.0,right,6600000.0,2020.0
873,Zack Steffen,USA,GK,Manchester City,25,1,1,90,1.0,0,0,191.0,right,6600000.0,2020.0
874,Dale Stephens,ENG,MF,Burnley,31,7,3,261,2.9,0,0,185.0,right,2750000.0,2020.0
875,Dale Stephens,ENG,MF,Burnley,31,7,3,261,2.9,0,0,185.0,right,2750000.0,2020.0
876,Jack Stephens,ENG,DF,Southampton,26,18,17,1537,17.1,0,0,185.0,right,5500000.0,2020.0
877,Raheem Sterling,ENG,FW,Manchester City,25,31,28,2536,28.2,10,7,170.0,right,99000000.0,2020.0
878,Enda Stevens,IRL,DF,Sheffield Utd,30,30,30,2700,30.0,0,1,183.0,left,3850000.0,2020.0
879,John Stones,ENG,DF,Manchester City,26,22,22,1933,21.5,4,0,188.0,right,33000000.0,2020.0
880,Pascal Struijk,NED,MF,Leeds United,20,27,22,2075,23.1,1,0,190.0,left,9900000.0,2020.0
881,Japhet Tanganga,ENG,DF,Tottenham,21,6,6,487,5.4,0,0,184.0,right,8800000.0,2020.0
882,Matt Targett,ENG,DF,Aston Villa,24,38,38,3404,37.8,0,2,183.0,left,18700000.0,2020.0
883,James Tarkowski,ENG,DF,Burnley,27,36,36,3240,36.0,1,0,185.0,right,27500000.0,2020.0
884,Percy Tau,RSA,MF,Brighton,26,3,1,103,1.1,0,1,175.0,left,3300000.0,2020.0
885,Sidnei Tavares,POR,MF,Leicester City,18,2,1,85,0.9,0,0,,-,330000.0,2020.0
886,Charlie Taylor,ENG,DF,Burnley,26,29,28,2426,27.0,0,1,176.0,left,4400000.0,2020.0
887,Neil Taylor,WAL,DF,Aston Villa,31,1,0,16,0.2,0,0,176.0,left,1650000.0,2020.0
888,Allan Tchaptchet,FRA,DF,Southampton,18,1,0,13,0.1,0,0,,-,165000.0,2020.0
889,Nathan Tella,ENG,MF,Southampton,21,18,7,745,8.3,1,1,173.0,right,2200000.0,2020.0
890,Alex Telles,BRA,DF,Manchester Utd,27,9,8,690,7.7,0,2,181.0,left,22000000.0,2020.0
891,Kenny Tete,NED,DF,Fulham,24,22,18,1481,16.5,0,1,180.0,right,5500000.0,2020.0
892,Luke Thomas,ENG,DF,Leicester City,19,14,12,969,10.8,1,0,181.0,left,5500000.0,2020.0
893,Youri Tielemans,BEL,MF,Leicester City,23,38,37,3357,37.3,6,4,176.0,right,60500000.0,2020.0
894,Kieran Tierney,SCO,DF,Arsenal,23,27,26,2299,25.5,1,3,180.0,left,35200000.0,2020.0
895,James Tomkins,ENG,DF,Crystal Palace,31,8,6,553,6.1,0,0,192.0,right,2750000.0,2020.0
896,Fikayo Tomori,ENG,DF,Chelsea,22,1,0,45,0.5,0,0,184.0,right,30800000.0,2020.0
897,Cenk Tosun,TUR,FW,Everton,29,5,0,48,0.5,0,0,183.0,right,5500000.0,2020.0
898,Andros Townsend,ENG,FW,Crystal Palace,29,34,25,2258,25.1,1,5,181.0,left,7700000.0,2020.0
899,Conor Townsend,ENG,DF,West Brom,27,25,25,2234,24.8,0,2,168.0,left,2200000.0,2020.0
900,Adama Traoré,ESP,FW,Wolves,24,37,28,2649,29.4,2,2,178.0,right,33000000.0,2020.0
901,Bertrand Traoré,BFA,FW,Aston Villa,24,36,29,2317,25.7,7,6,181.0,left,22000000.0,2020.0
902,Leandro Trossard,BEL,MF,Brighton,25,35,30,2607,29.0,5,5,172.0,right,18700000.0,2020.0
903,Axel Tuanzebe,ENG,DF,Manchester Utd,22,9,4,404,4.5,0,0,185.0,right,8800000.0,2020.0
904,Cengiz Ünder,TUR,FW,Leicester City,23,9,1,281,3.1,0,2,173.0,left,19800000.0,2020.0
905,Yan Valery,FRA,MF,Southampton,21,3,1,103,1.1,0,0,180.0,right,3300000.0,2020.0
906,Jamie Vardy,ENG,FW,Leicester City,33,34,31,2840,31.6,15,9,179.0,right,7700000.0,2020.0
907,Joël Veltman,NED,DF,Brighton,28,28,25,2281,25.3,1,1,184.0,right,6600000.0,2020.0
908,Jannik Vestergaard,DEN,DF,Southampton,27,30,29,2574,28.6,3,0,199.0,both,19800000.0,2020.0
909,Rúben Vinagre,POR,DF,Wolves,21,2,1,173,1.9,0,0,174.0,left,5500000.0,2020.0
910,Carlos Vinícius,BRA,FW,Tottenham,25,9,3,308,3.4,1,0,190.0,left,19800000.0,2020.0
911,João Virgínia,POR,GK,Everton,20,1,0,48,0.5,0,0,192.0,right,1100000.0,2020.0
912,Vitinha,POR,MF,Wolves,20,19,5,520,5.8,0,1,172.0,right,7700000.0,2020.0
913,Jake Vokins,ENG,DF,Southampton,20,1,1,66,0.7,0,0,180.0,left,275000.0,2020.0
914,Theo Walcott,ENG,FW,Southampton,31,21,20,1618,18.0,3,3,175.0,both,5500000.0,2020.0
915,Theo Walcott,ENG,FW,Southampton,31,21,20,1618,18.0,3,3,175.0,both,5500000.0,2020.0
916,Theo Walcott,ENG,FW,Everton,31,1,0,13,0.1,0,0,175.0,both,5500000.0,2020.0
917,Theo Walcott,ENG,FW,Everton,31,1,0,13,0.1,0,0,175.0,both,5500000.0,2020.0
918,Kyle Walker,ENG,DF,Manchester City,30,24,22,1946,21.6,1,1,183.0,right,30800000.0,2020.0
919,Kyle Walker-Peters,ENG,DF,Southampton,23,30,30,2645,29.4,0,2,173.0,right,19800000.0,2020.0
920,Aaron Wan-Bissaka,ENG,DF,Manchester Utd,22,34,34,3060,34.0,2,4,183.0,right,44000000.0,2020.0
921,Joel Ward,ENG,DF,Crystal Palace,30,26,25,2256,25.1,0,1,186.0,right,2750000.0,2020.0
922,James Ward-Prowse,ENG,MF,Southampton,25,38,38,3420,38.0,8,7,177.0,right,33000000.0,2020.0
923,Ollie Watkins,ENG,FW,Aston Villa,24,37,37,3328,37.0,14,5,180.0,right,35200000.0,2020.0
924,Caleb Watts,AUS,FW,Southampton,18,3,0,39,0.4,0,0,,right,275000.0,2020.0
925,Adam Webster,ENG,DF,Brighton,25,29,29,2594,28.8,1,0,190.0,right,19800000.0,2020.0
926,Danny Welbeck,ENG,FW,Brighton,29,24,17,1545,17.2,6,1,185.0,right,4400000.0,2020.0
927,Danny Welbeck,ENG,FW,Brighton,29,24,17,1545,17.2,6,1,185.0,right,6050000.0,2020.0
928,Timo Werner,GER,FW,Chelsea,24,35,29,2602,28.9,6,8,180.0,right,71500000.0,2020.0
929,Ashley Westwood,ENG,MF,Burnley,30,38,38,3410,37.9,3,3,174.0,right,5500000.0,2020.0
930,Ben White,ENG,MF,Brighton,22,36,36,3191,35.5,0,0,186.0,right,30800000.0,2020.0
931,Georginio Wijnaldum,NED,MF,Liverpool,29,38,34,2941,32.7,2,0,175.0,right,33000000.0,2020.0
932,Brandon Williams,ENG,DF,Manchester Utd,19,4,2,188,2.1,0,0,180.0,right,11000000.0,2020.0
933,Neco Williams,WAL,DF,Liverpool,19,6,3,249,2.8,0,0,183.0,right,8800000.0,2020.0
934,Rhys Williams,ENG,DF,Liverpool,19,9,7,661,7.3,0,0,195.0,right,5500000.0,2020.0
935,Willian,BRA,MF,Arsenal,31,25,16,1406,15.6,1,5,175.0,right,9900000.0,2020.0
936,Joe Willock,ENG,MF,Arsenal,20,7,2,238,2.6,0,0,186.0,right,17600000.0,2020.0
937,Joe Willock,ENG,MF,Arsenal,20,7,2,238,2.6,0,0,186.0,right,17600000.0,2020.0
938,Joe Willock,ENG,MF,Newcastle Utd,20,14,11,978,10.9,8,0,186.0,right,17600000.0,2020.0
939,Joe Willock,ENG,MF,Newcastle Utd,20,14,11,978,10.9,8,0,186.0,right,17600000.0,2020.0
940,Callum Wilson,ENG,FW,Newcastle Utd,28,26,23,2084,23.2,12,5,180.0,right,24200000.0,2020.0
941,Callum Wilson,ENG,FW,Newcastle Utd,28,26,23,2084,23.2,12,5,180.0,right,26400000.0,2020.0
942,Harry Winks,ENG,MF,Tottenham,24,15,9,861,9.6,0,0,178.0,right,22000000.0,2020.0
943,Chris Wood,NZL,FW,Burnley,28,33,32,2741,30.5,12,3,191.0,right,8800000.0,2020.0
944,Granit Xhaka,SUI,DF,Arsenal,27,31,29,2522,28.0,1,2,186.0,left,24200000.0,2020.0
945,Andriy Yarmolenko,UKR,MF,West Ham,30,15,1,375,4.2,0,1,189.0,left,4400000.0,2020.0
946,DeAndre Yedlin,USA,DF,Newcastle Utd,27,6,5,436,4.8,0,0,173.0,right,5500000.0,2020.0
947,Wilfried Zaha,CIV,FW,Crystal Palace,27,30,29,2612,29.0,11,2,180.0,right,49500000.0,2020.0
948,Andi Zeqiri,SUI,DF,Brighton,21,9,0,171,1.9,0,0,185.0,left,2750000.0,2020.0
949,Oleksandr Zinchenko,UKR,DF,Manchester City,23,20,15,1478,16.4,0,0,175.0,left,27500000.0,2020.0
950,Hakim Ziyech,MAR,MF,Chelsea,27,23,15,1172,13.0,2,3,181.0,left,41800000.0,2020.0
951,Kurt Zouma,FRA,DF,Chelsea,25,24,22,2029,22.5,5,0,190.0,right,35200000.0,2020.0
952,Martin Ødegaard,NOR,MF,Arsenal,21,14,9,866,9.6,1,2,178.0,left,44000000.0,2020.0
